[28/5/2022 18:58:33] 
[28/5/2022 18:58:35] 
[28/5/2022 18:58:55] 
[28/5/2022 18:58:57] 
[28/5/2022 18:59:23] 
[28/5/2022 19:0:7] !emotespells on
[28/5/2022 19:0:42] 
[28/5/2022 19:0:44] 
[28/5/2022 19:0:46] 
[28/5/2022 19:0:48] 
[28/5/2022 19:0:50] 
[28/5/2022 19:0:52] 
[28/5/2022 19:1:12] 
[28/5/2022 19:1:39] 
[28/5/2022 19:1:41] 
[28/5/2022 19:1:43] 
[28/5/2022 19:1:45] 
[28/5/2022 19:1:47] 
[28/5/2022 19:2:19] 
[28/5/2022 19:2:21] 
[28/5/2022 19:2:23] 
[28/5/2022 19:2:25] 
[28/5/2022 19:2:27] 
[28/5/2022 19:2:29] 
[28/5/2022 19:4:22] 
[28/5/2022 19:4:24] 
[28/5/2022 19:4:26] 
[28/5/2022 19:6:30] 
[28/5/2022 19:6:32] 
[28/5/2022 19:6:45] 
[28/5/2022 19:6:47] 
[28/5/2022 19:6:49] 
[28/5/2022 19:6:51] 
[28/5/2022 19:6:53] 
[28/5/2022 19:6:55] 
[28/5/2022 19:7:11] 
[28/5/2022 19:7:14] 
[28/5/2022 19:8:5] 
[28/5/2022 19:8:7] 
[28/5/2022 19:8:9] 
[28/5/2022 19:8:11] 
[28/5/2022 19:8:13] 
[28/5/2022 19:8:53] !emotespells on
[28/5/2022 19:9:31] 
[28/5/2022 19:9:33] 
[28/5/2022 19:9:35] 
[28/5/2022 19:9:37] 
[28/5/2022 19:9:39] 
[28/5/2022 19:10:21] 
[28/5/2022 19:10:23] 
[28/5/2022 19:11:0] 
[28/5/2022 19:11:2] 
[28/5/2022 19:11:4] 
[28/5/2022 19:11:6] 
[28/5/2022 19:11:8] 
[28/5/2022 19:11:11] 
[28/5/2022 19:11:13] 
[28/5/2022 19:11:15] 
[28/5/2022 19:11:37] 
[28/5/2022 19:11:39] 
[28/5/2022 19:11:41] 
[28/5/2022 19:11:43] 
[28/5/2022 19:11:45] 
[28/5/2022 19:11:47] 
[28/5/2022 19:12:8] 
[28/5/2022 19:12:10] 
[28/5/2022 19:12:15] 
[28/5/2022 19:15:7] 
[28/5/2022 19:15:22] 
[28/5/2022 19:15:39] 
[28/5/2022 19:15:41] 
[28/5/2022 19:16:2] 
[28/5/2022 19:17:27] !emotespells on
[28/5/2022 19:18:4] 
[28/5/2022 19:18:6] 
[28/5/2022 19:20:29] 
[28/5/2022 19:20:53] 
[28/5/2022 19:20:56] 
[28/5/2022 19:20:58] 
[28/5/2022 19:21:0] 
[28/5/2022 19:23:8] 
[28/5/2022 19:23:10] 
[28/5/2022 19:23:21] 
[28/5/2022 19:23:23] 
[28/5/2022 19:23:26] 
[28/5/2022 19:23:28] 
[28/5/2022 19:23:30] 
[28/5/2022 19:23:46] 
[28/5/2022 19:23:48] 
[28/5/2022 19:24:31] 
[28/5/2022 19:24:33] 
[28/5/2022 19:24:35] 
[28/5/2022 19:24:37] 
[28/5/2022 19:24:40] 
[28/5/2022 19:24:42] 
